question,option1,option2,option3,option4,answer
" 職業能力開発促進法に関する次の記述のうち、誤っているものはどれか。
1. 「キャリアコンサルティング」とは、労働者の職業の選択、職業生活設計又は職業能力の
開発及び向上に関する相談に応じ、助言及び指導を行うことをいう。
2. 職業能力開発促進法において「労働者」とは、事業主に雇用される者をいう。
3. 労働者は、職業生活設計を行い、その職業生活設計に即して自発的な職業能力の開発及び
向上に努めるものとする。
4. キャリアコンサルタントは、その業務に関して知り得た秘密を漏らし、又は盗用してはな
らない。
6","「キャリアコンサルティング」とは、労働者の職業の選択、職業生活設計又は職業能力の
開発及び向上に関する相談に応じ、助言及び指導を行うことをいう。", 職業能力開発促進法において「労働者」とは、事業主に雇用される者をいう。,"労働者は、職業生活設計を行い、その職業生活設計に即して自発的な職業能力の開発及び
向上に努めるものとする。","キャリアコンサルタントは、その業務に関して知り得た秘密を漏らし、又は盗用してはな
らない。",2
" 職業能力開発や生涯学習に関する次の記述のうち、適切なものの組み合わせはどれか。
A. 「職業能力」とは、職業能力開発促進法で「職場や地域社会で多様な人々と仕事を
していくために必要な基礎的な力」と定義されている。
B. 「生涯学習」は、人々が生涯に行う職業能力の向上のための学習を指し、レクリエ
ーション活動やボランティア活動は含まれない。
C. 「リカレント（Recurrent）」は、「回帰する」、「循環する」という意味で、リカレ
ント教育は学校教育から離れて社会人になった後も再び教育機関等で学び直し、ま
た社会に出ていくということを生涯続けることができる教育システムを指す。
D. 「リスキリング（Re-skilling）」は、新しい職業に就くために、あるいは、今の職
業で必要とされるスキルの大幅な変化に適応するために、必要なスキルを獲得した
り、させたりすることである。
",A と B, A と C,B と D,C と D,4
"パートタイム・有期雇用労働法上のパートタイム・有期雇用労働者と通常の労働者の待
遇差（いわゆる同一労働同一賃金）に関する次の記述のうち、最も適切なものはどれか。",法律上の規制範囲は、基本給と賞与の決定に限定される。,"労働（職務の内容、人材活用の仕組み）が同一でない場合、労働の違いに比べて労働条件
の格差が大きく、不合理と評価されても、違法とはならない。"," 職務の内容や責任の程度が同一であれば賃金を同一とする、職務給制度の導入が義務付け
られている。","法律上の規制は、無期雇用労働者同士や有期雇用労働者同士には適用されないが、雇用形
態を問わず労働者間に大きな格差があると認められた場合、民法では違法と判断される可
能性がある。",4
 職業能力開発の方法に関する次の記述のうち、不適切なものはどれか。,人材育成の中心はあくまでもOff-JTであり、OJT はそれを補完するものである。,"Off-JTを行う際には、訓練に直接必要となる「直接費用」のほかに、訓練に参加する労働
者が訓練期間中に仕事から外れることなどから生じる「機会費用」を考慮しておく必要が
ある。","OJTを行う際には、訓練期間中に、教える側が仕事に専念できなくなること、教えられる
側が訓練のため慣れない仕事に従事して生産性が低下することから生じる「機会費用」を
考慮しておく必要がある。","人的資本理論では、企業内訓練で現在働いている企業でしか使えない企業特殊能力を高め
た従業員は、給与面では転職しないほうが有利であると考えられている。",1
"職業能力開発促進法における事業内職業能力開発計画及び職業能力開発推進者に関する
次の記述のうち、正しいものはどれか。","キャリアコンサルタントを職業能力開発推進者として選任することを、事業主が必ず行わ
なければならない義務として定めている。","職業能力開発推進者の役割の一つに、事業内における職業能力開発計画の作成と実施を定
めている。",事業内職業能力開発計画の作成は、事業主が必ず行わなければならない義務とされている。,"事業内職業能力開発計画を作成することは、教育訓練給付金の申請に当たっての必須要件
である。",2
" 「令和4年度年次経済財政報告」（内閣府）で述べられた、労働力の確保・質の向上に向
けた課題に関する次の記述のうち、適切なものはどれか。","毎月の雇用調整助成金の支給対象延べ人数を試算すると、2020 年 4 月以降増加の一途を
辿っており、2022年度に入っても伸び続けている。"," 新型コロナウイルス感染症下において、企業は産業雇用安定助成金を活用した在籍型出向
により雇用維持を図ったが、本助成金を用いた出向労働者が一番多い出向元業種は、卸売
業・小売業である。","2017 年以降、わが国の副業・兼業の実施状況を男女別・年齢別に確認すると、男女とも
に若年層ほど実施率が低い。","常用労働者の労働移動について、2000年以降の転職入職率をみると、男女ともに29歳以
下の若年層が最も高い。",4
" 「令和4年版労働経済の分析」（厚生労働省）で述べられた、労働市場における「ミスマ
ッチ」の状況に関する次の記述のうち、不適切なものはどれか。","産業や職業ごと、または地域間で分割されている複数の労働市場間で労働者が適切に分配
されないことから生じる労働市場のミスマッチは、景気刺激策で労働需要を増大させるこ
とで緩和することができるとされる。","個別の企業と労働者の属性間に相性の不一致が生じていることから生じる労働市場のミ
スマッチは、転職などの際の情報の非対称性の緩和（企業情報の開示など）を通じて、外
部労働市場を活用しやすくすることで緩和することができるとされる。","ある国の労働市場全体で労働需要と労働供給とが数の上で一致していたとしても、欠員と
失業が同時に発生することはあり得る。","職種別の労働力需給の動向からは、新型コロナウイルス感染症の感染拡大以前から、事務
職では求職者超過、介護・福祉職では求人超過が続いているなど、構造的な労働力需給の
ミスマッチが起きている兆候がみられる。",1
"総務省統計局の労働力調査で用いられる用語に関する次の記述のうち、正しいものはど
れか。",. 「完全失業者」とは、調査週において仕事がなく、すぐに就業が可能な者をいう。,「労働力人口比率」とは、15歳以上人口に占める労働力人口の割合をいう。,「完全失業率」とは、就業者に占める完全失業者の割合をいう。,「非労働力人口」とは、15歳以上の人口のうち就業者以外の者をいう。,2
" 「令和5年就労条件総合調査 結果の概況」（厚生労働省）に関する次の記述のうち、
不適切なものはどれか。","週所定労働時間を産業別にみると、「金融業、保険業」が 最も短く、「宿泊業、飲食サー
ビス業」および「生活関連サービス業、娯楽業」が 最も長くなっている。","令和 4 年 1 年間の労働者 1 人当たり平均年次有給休暇取得率は 60％を超え、昭和 59 年
以降過去最高となっている。","令和5年調査における変形労働時間制（1年単位・1か月単位・フレックスタイム）を採
用している企業割合は、企業規模にかかわらず50％に満たない。","勤務間インターバル制度の導入状況別の企業割合は、1000人未満規模の企業では10％に
満たない。",3
 法令上の労働時間に関する次の記述のうち、正しいものはどれか。,時間外休日労働に関する、いわゆる「36協定」において、時間外労働の限度時間は1年単位の変形労働時間制の例外を除き1ヶ月45時間、1年360時間とされているが、臨時的にはこれを上回る時間を定めることができる。,労働基準法には罰則規定がないので、労働時間に関する規定に反した者に対して刑事罰を課すことができない。,労働基準法の労働時間、休日等の規定の適用除外とされている管理監督者については、企業はその労働時間の状況を把握する義務を負わない。,いわゆる「高度プロフェッショナル制度」の適用対象者が午後10時から午前5時までに労働した場合、深夜労働割増賃金を支払う必要がある,1
 女性活躍推進法に関する次の記述のうち、正しいものはどれか。,"女性活躍推進法は、性別に関わりなく、男女双方の職業生活における活躍を迅速かつ重点
的に推進することを目的とする法律である。","女性活躍推進法は、常時雇用する労働者が101人以上の事業主に対して、一般事業主行動
計画の策定・届出を義務づけている。","一般事業主行動計画を届け出た事業主は、厚生労働大臣の認定を受けることなく、「える
ぼし」マークを商品、広告、名刺、求人票などで自由に使用することができる。","女性活躍推進法に基づき、一般事業主行動計画を策定した企業は、労働者への周知を行う
べく社内掲示等の社内への公表が義務づけられるが、社外への情報公表は求められていな
い。",2
 男女雇用機会均等法に関する次の記述のうち、正しいものはどれか。,"求人の内容の説明等募集又は採用に係る情報の提供について、男女で異なる取扱いをする
ことは、性別を理由とする差別には該当しない。","コース別人事管理制度を実施している場合、その運用において男女で異なる扱いをしても
性別を理由とする差別には該当しない。","労働者の募集又は採用に当たって、合理的理由なく労働者の身長、体重等を要件とするこ
とは、性別を理由とする差別に該当しない。","妊娠中の女性労働者及び出産後 1 年を経過しない女性労働者に対する解雇は原則無効と
した上で、解雇の有効性に係る立証責任を事業主自身に課している。",4
 労働契約の終了に関する次の記述のうち、正しいものはどれか。,定年制を設ける場合、その年齢は65歳を下回ってはならない。,退職の際、労働者は退職理由を使用者に告げる必要はない。,"期間の定めがある労働契約を更新しないことを意味する雇止めは、解雇とは異なるから、
使用者はこれを自由に行うことができる。",試用期間中の労働者を解雇する場合には、解雇予告は一切不要である。,2
"「生徒指導提要（改訂版）」（文部科学省、令和 4 年）におけるキャリア教育と生徒指導
との関連性に関する次の記述のうち、不適切なものはどれか。","生徒指導と同様に、児童生徒の社会的自己実現を支える教育活動としてキャリア教育があ
る。","生徒指導を進める上で、キャリア教育との相互作用を理解して、一体となった取り組みを
行うことが大切である。","いじめや暴力行為などの生徒指導上の課題への対応においては、自己の生き方を見つめる
こと、将来の夢や進路目標を明確にすることなどが重要で、生徒指導とキャリア教育は、
深い関係にあると言える。","いじめや暴力行為、非行は生徒指導、不登校は教育相談、進路についてはキャリア教育な
ど、それぞれの専門性を活かした分業的な体制が求められている。",4
" 「高等学校キャリア教育の手引き」（文部科学省、平成 23 年）におけるキャリア教育と
職業教育に関する次の記述のうち、適切なものの組み合わせはどれか。
A. 職業教育は「一人一人の社会的・職業的自立に向け、必要な基盤となる能力や態度
（資質・能力）を育てることを通して、キャリア発達を促す教育」と定義されてい
る。
B. 職業教育は、具体の職業に関する教育を通して行われ、社会的・職業的自立に向け
て必要な基盤となる能力や態度を育成する上でも、極めて有効である。
C. キャリア教育は「一定又は特定の職業に従事するために必要な知識、技能、能力や
態度（資質・能力）を育てる教育」と定義されている。
D. キャリア教育は普通教育、専門教育を問わず様々な教育活動の中で実施される。
",A と C,A と D,B と C, B と D,4
"「インターンシップを始めとする学生のキャリア形成支援に係る取組の推進に当たって
の基本的考え方」（文部科学省・厚生労働省・経済産業省、令和4年6月13日一部改正）
で示された、大学等におけるインターンシップの推進に関する次の記述のうち、最も適切
なものはどれか。","インターンシップを実施するにあたり、大学等が学生と企業のマッチングの機会を提供す
る等のサポート体制を構築することは、プログラムの効果を高めるという点で有益である。","インターンシップを大学等の単位に組み込むことは学生の学業専念の観点から望ましく
ない。","企業、就職情報会社や大学キャリアセンターが主催するイベント・説明会が、インターン
シップとして正式に位置付けられることとなった。","令和5年度以降は、企業はインターンシップで取得した学生情報を採用選考活動に一切使
用できない。",1
" 「健康づくりのための睡眠指針 2014」（厚生労働省）で述べられた、メンタルヘルスと
密接な関わりのある睡眠に関する次の記述のうち、適切なものはどれか。"," 日中に適度な運動を行うことは、昼間の覚醒の度合いを維持・向上し、睡眠と覚醒のリズ
ムにメリハリをつけることに役立つと言われている。","成人の身体が必要とする睡眠時間の目安は 4 時間以上 6 時間未満であり、このくらいの
睡眠時間の人が最も健康だと言われている。","睡眠不足による疲労の蓄積を防ぐには、休日に「寝だめ」によって解消することが薦めら
れている。","睡眠時間を確保するためには、睡眠時刻の慣習を重視し、眠たくなくても寝床に就くこと
が重要である。
",1
 ウェルビーイング（Well-being）に関する次の記述のうち、不適切なものはどれか。,"ウェルビーイングへの着目が拡大しているのは、社会情勢が VUCA といわれる先の見え
ない時代において、どうすれば人は幸せになれるのかに注目が集まっていることが要因の
一つと考えられる。","労働者一人ひとりが、自ら望む生き方に沿った豊かで健康的な職業人生を安心して送れる
社会を築いていくためには、就業面からのウェルビーイングの向上を図ることが重要であ
る。","就業面からのウェルビーイングの向上には、例えば年次有給休暇の円滑な取得や、勤務間
インターバル制度の活用などにより、労働者の健康を確保することも大切である。","就業面からのウェルビーイングの向上と、企業が経営の効率化や競争力の確保を図ること
を目的にした生産性の向上とは背反する考え方である。",4
" スーパー（Super, D. E.）が提唱するキャリア発達に関する次の記述のうち、不適切なも
のはどれか。","キャリアは、単なる職業だけでなく、個人が経験する多様な役割とそれらへの取り組み方
によって構成される。",キャリアは、心理社会的成熟や環境適応についての課題を達成するに伴い発達していく。,"キャリアの発達段階の間には移行期があり、移行期には新たな段階へ進むための意思決定
の過程が含まれる。","キャリア発達をとおして形成されるキャリア自己概念は、「個人が主観的に形成してきた
自己についての概念」（主観的自己）を中心とする。",4
" 次の記述のうち、マーシャ（Marcia, J. E.）が示したアイデンティティ・ステイタスの
「モラトリアム」に関する内容として、適切なものはどれか。","今まで本当に何者かであった経験がないので、何者かである自分を想像することができな
い。","自分の目標と親の目標の間に不協和がなく、どんな経験も、幼児期以来の信念を補強する
だけで、硬さ（融通のきかなさ）が特徴である。","いくつかの選択肢について迷っているところで、その不確かさを克服しようと一生懸命努
力している。","幼児期からのあり方について確信がなくなり、いくつかの可能性について本気で考えた末、
自分自身の解決に達して、それに基づいて行動している。",3
" 近年のわが国の働く女性の実情等に関する次の記述のうち、不適切なものはどれか。
"," 「令和3年版働く女性の実情」（厚生労働省、令和4年3月）によれば、女性の年齢階級
別労働力率における M 字型カーブは解消に向かう傾向にあり、令和 3 年においては台形
に近づきつつある。","「令和3年版働く女性の実情」によれば、令和3年の「非正規の職員・従業員」の割合は、
男性雇用者総数（役員を除く）においては約2割、女性雇用者総数（役員を除く）におい
ては約5割であった。","「令和3年版働く女性の実情」によれば、令和3年において、一般労働者の正社員・正職
員の男女間の賃金格差は、男性を100とした場合、女性は80に満たない。","「令和3年度雇用均等基本調査（結果概要）」（厚生労働省、令和4年7月）によれば、課
長相当職以上の管理職に占める女性の割合は上昇し続けており、令和3年には3割を超え
た。",4
" 生活困窮者及び生活困窮者自立支援制度に関する次の記述のうち、不適切なものはどれ
か。","生活困窮者とは、就労の状況、心身の状況、地域社会との関係性その他の事情により、現
に経済的に困窮し、最低限度の生活を維持することができなくなるおそれのある者をいう。","生活困窮者には、社会とのつながりが薄れて自らサービスにアクセスできない者も少なく
ないことから、 支援を個人に届けるアウトリーチの観点が重要である。","生活困窮者に対して有期で家賃相当額を支給する住居確保給付金制度は、新型コロナウイ
ルス感染症拡大の影響で新設された。","直ちに一般就労することが難しい者のための制度として、作業機会を提供しながら、個別
の就労支援プログラムに基づき、一般就労に向けた支援を中・長期的に実施する、就労訓
練事業（いわゆる「中間的就労」）がある。",3
" 「発達障害のある人の雇用管理マニュアル」（厚生労働省、2006年3月）で述べられた、
発達障害のある人の雇用管理において配慮すべきポイントに関する次の記述のうち、
最も不適切なものはどれか。"," 障害のある人を決して特別に扱ったりせずに、一人の重要な労働者として他の従業員と同
等に、認め、指導し、職場内全員で受け止める。","障害のある人の指導上の配慮事項等の情報を周囲と共有する際の判断にあたっては、本人
の意思や気持ちを確認し、それを十分尊重する。","本人の障害による困難から職務の手順や方法を見直してみるよりも、職務についての規定
の手順や方法に本人が適応するよう求めることが大切である。",職場内でメンターとなる社員を選任するなど必要な体制を整える。,3
 グループ・ファシリテーションに関する次の記述のうち、最も不適切なものはどれか。,"グループ・ファシリテーションを機能させる上での概念の「コンテント」は、仕事、話題
などの内容的側面である。","グループ・ファシリテーションを機能させる上での概念の「プロセス」は、グループのメ
ンバー間の相互に起きている関係的過程を示すものである。","「プロセス」は「コンテント」の質に影響を与えるので、グループ・ファシリテーターは、
プロセスに目を向け、プロセスに気づき、プロセスに働きかけていく役割を担う。","グループ・ファシリテーターは、学習の援助促進のためには、ファシリテーター自身の考
えを明確に主張し、時としてグループの思いとは逆の方向へ意図的に引っ張っていくこと
も必要である。",4
"ジョブ・カード作成の条件やメリットに関する次の記述のうち、最も不適切なものはど
れか。",自分の能力や職業意識を整理することができ、職業人生設計を容易にする。,"目標、職業能力開発の必要性が明確になり、職業能力開発の効果を高めることが期待でき
る。","ジョブ・カードを作成する際は、必ず同時にキャリアコンサルティングを受ける必要があ
る。", 資格以外にも自分の PR ポイントが明確になり、求職時の職業能力の証明を容易にする。,3
" キャリアコンサルタントがよりよいキャリアコンサルティングを行うための留意点に関
する次の記述のうち、最も不適切なものはどれか。",相談の目的は、クライエントのよりよい適応と成長、個人の発達を援助することである。,"職業・職務の選択、今後のキャリア形成の方向の決定、手段の決定など、具体的な目標決
定を重視する。","自己理解、仕事理解、啓発的経験、意思決定、方策の実行、職務への適応といった各ステ
ップを明確にし、現在どの段階にあるのかを確認しながら相談を進める。"," 企業内での相談の場合、その内容は企業側の求めに応じておおむね企業に伝えられる場合
があるということを前提に相談を進める。",4
 次の記述のうち、コンサルテーションの説明として、最も適切なものはどれか。," 企業内での相談の場合、その内容は企業側の求めに応じておおむね企業に伝えられる場合
があるということを前提に相談を進める。","支援のために自分の専門外の知識が必要な時に、キャリアコンサルタント自身がその専門
家に相談することをいう。","クライエントが必要とする領域に合った、より適切な支援が可能な別のキャリアコンサル
タントへの相談を勧めることをいう。",自分が担当するケースについて、より熟達した指導者から助言、指導を受けることをいう。,2
"キャリアコンサルティングにおける相談場面の設定に関する次の記述のうち、最も適切
なものはどれか。","面談の初期に行う目標設定では、具体的で直接的・短期的な目標よりも、曖昧で長期的な
目標を立てることが望ましい。","キャリアコンサルタントは、相談者が発する言語的な情報に注意すればよく、態度や視線
といった非言語的な情報に注意をする必要はない。","カウンセリングにおける基本的なかかわり方として、視線の位置、言語追跡、身体言語、
声の質等が挙げられる。","カウンセリングにおける基本的なかかわり方として、視線の位置、言語追跡、身体言語、
声の質等が挙げられる。",3
" 厚生労働省編一般職業適性検査[進路指導・職業指導用]（GATB）の結果の活用に関する
次の記述のうち、最も適切なものはどれか。","検査結果が、ある職業の基準を満たしている場合は、その職業に対する職業的成功を確約
していると言える。","本検査は網羅的な検査であるため、望ましい職業的進路については、個人の体力、性格、
価値観、欲求などを測定する他の検査結果を考慮する必要はない。","特定の技術・技能の習得を目的とする大学等の教育機関を修了する者が、その専攻に関連
する職業に就業しようとする場合には、必ずしも本検査を利用する必要はない。","本検査は、事業所等における採用選考や人事配置など、雇用管理の目的のためにも有効に
活用できる。",3
 仕事理解の支援に関する次の記述のうち、適切なものはどれか。,"厚生労働省編職業分類に関して、従来は大分類、中分類、小分類、細分類の4つの区分で
あったが、2022年の改定で細分類は廃止となり、3つの区分となっている。",日本標準職業分類は総務省が作成したものであり、厚生労働省編職業分類に準拠している。," 厚生労働省の職業情報提供サイト（日本版 O-NET、愛称 job tag）では、事業所検索や、
就職診断ができる。","厚生労働省の職業情報提供サイト（日本版O-NET、愛称job tag）では、約500の職業解
説があるが、紹介動画までは見ることができない。",1
 啓発的経験に関する次の記述のうち、最も適切なものはどれか。,"啓発的経験はキャリアコンサルティングの6分野の一つであり、具体的な選択や意思決定
の前に、体験してみることを支援するものである。","ボランティア活動や無給のインターンシップは啓発的経験に含まれるが、アルバイトや有
給のインターンシップは啓発的経験に含まれない。","啓発的経験は短期間の体験であるため、職務に求められる能力やキャリア・ルートを理解
する手がかりとはならない。","職業訓練は啓発的経験に含まれるが、訓練を伴わない単なる職場見学は啓発的経験に含ま
れない。",1
"キャリアコンサルティングにおける目標設定のステップに関する次の記述のうち、最も
適切なものはどれか。",クライエントが目標に納得していない場合、その理由を探るために時間を取る必要がある。,"キャリアコンサルタントは、クライエントの立てた目標が扱いきれない場合でも、必要な
技術を学んでクライエントに関わっていくべきである。","クライエントが早期に自律できるよう、キャリアコンサルタントが「一緒にがんばりまし
ょう」などと言うことは避ける。","目標に向けた努力はクライエントが行うものであり、キャリアコンサルタントは見守るこ
とに徹するべきである。",1
" システマティック・アプローチのプロセスにおける「方策の実行」の支援に関する次の
記述のうち、最も適切なものはどれか。","クライエントが実行する方策を決められた時間内に意思決定できないときは、キャリアコ
ンサルタントが自身の経験を踏まえて決定し、クライエントにその方策の採用を求める必
要がある。","キャリアコンサルタントは、採用した方策のメリット/デメリット等を説明し、クライエン
トのニーズに合うように、実行計画を変更する必要がある。","決定した実行計画の行動主体はクライエントであることから、約束した行動はクライエン
トが自分の責任で実行しなければならず、実行過程でのキャリアコンサルタントの役割は
ないことを伝える。","クライエントと契約した方策全体について、実行したかどうかをキャリアコンサルタント
が１つずつ確認するような行為は、クライエントのキャリア自律を妨げることにつながる
ので避ける。",2
"キャリアコンサルタントによる、クライエントの組織への適応支援に関する次の記述の
うち、最も不適切なものはどれか。","リアリティ・ショックを乗り越えるために、キャリアコンサルタントは本人の希望を受容・
共感しつつ、職場のルールや規範を教え、社会人として第一歩を踏み出すことを促進する。","DXの進展など変動の激しい現代では、キャリア・アダプタビリティが不可欠であり、同
時に変化に振り回されないようなその人なりのライフテーマを持つことの支援も重要であ
る。","DXの進展など変動の激しい現代では、キャリア・アダプタビリティが不可欠であり、同
時に変化に振り回されないようなその人なりのライフテーマを持つことの支援も重要であ
る。職場に馴染めずに早急に転職したいと希望するクライエントに対し、キャリアコンサルタントは、そのように思うならば立ち止まらず、すぐに転職先を探すよう背中を押す対応が重要である。","それまでひとつの物事に没頭していたクライエントが、心身の極度の疲労により燃え尽き
たように意欲を失い、社会に適応できなくなることもあることを念頭においた支援が重要
である。",3
相談過程の評価に関する次の記述のうち、最も不適切なものはどれか,"評価では、相談者が目標に照らしてどのレベルまで達成したかを相談者の視点による自己
評価で決定することが望ましい。","どの程度面談目標を達成したか、対処方針・結果・使用したスキルは適切だったかなど、
評価はキャリアコンサルタントの成長のためにも行われる。","キャリアコンサルタントは、相談者の変化を客観的に評価し、守秘義務に配慮した上で、
本人が所属する学校や企業などの関係者に説明できる力が求められる。","評価では、相談者が面談を通じて達成したり学習したことを、他の場面にいかに適用する
かについても話し合う。",1
